id,from_id,date,text,likes,views,reposts,comments,topic
12149,-66174182,2025-06-14 12:00:00,"[ИНТЕРЕСНО] 💎

В рамках совместного проекта [https://vk.com/opalataspb|Общественной палаты Санкт-Петербурга] и Кафедры телерадиожурналистики СПбГУ универсанты сняли цикл видеороликов о работе волонтеров. 

Основная цель проекта — показать работу некоммерческих организаций, которые каждый день работают на благо других людей.",7,888,1,0,СПбГУ
11052,-168,2025-06-14 12:00:00,"💫 «Талантливый человек талантлив во всём». Преподаватели ВШМ СПбГУ неоднократно доказывали это утверждение. 
 
❤ Сегодня в рубрике «Культурный выходной» расскажем об Ольге Алкановой, доценте кафедры маркетинга, директоре Центра преподавательского мастерства в бизнес-образовании, поделимся её историей, потрясающими репортажными снимками и рекомендациями спектаклей. Листайте карточки ⬆",25,1509,1,0,СПбГУ
641,-42058387,2025-06-14 12:00:00,"Сегодня хотим поделиться маленькой историей нашей пациентки. Приходя на первичную консультацию к нашим амбулаторным специалистам, вы можете обрести своего врача, который будет с вами не только на этапе лечения, но станет надежным защитником вашего здоровья на профилактических приёмах и даже при беременности. 
 
«Обращалась к Асель Кинжебековне уже не в первый раз — наблюдаюсь у неё третий год. Сначала это были плановые посещения раз в полгода, иногда чаще, если того требовало здоровье, потом Асель Кинжебековна помогала на каждом этапе планирования беременности, тщательно всё контролируя, а теперь прихожу на УЗИ​ и поделиться, если что-то беспокоит во время беременности. Замечательная врач: очень деликатная, сочувствующая. Всегда проводит тщательный осмотр, назначает только проверенные и только необходимые препараты. Видно, что любит свою профессию, постоянно проходит курсы повышения квалификации и работает с удовольствием и с добрым отношением к пациентам». 
 
Спасибо, что делитесь впечатлениями о нашей службе! 
 
☎Записаться к Юнусовой Асель Кинжебековне можно через:
-личный кабинет на официальном сайте Клиники ВМТ им. Н.И. Пирогова (https://online.gosmed.ru/); 
-приложение «Клиника СПбГУ» для Google Play (https://play.google.com/store/apps/details?id=ru.gosmed.lk.patient_area); 
-приложение «Клиника СПбГУ» для App Store (https://apps.apple.com/us/app/клиника-спбгу/id6670782679).
 
#гинэксперт_отзыв",21,421,0,0,СПбГУ
9624,-209419,2025-06-14 11:51:00,"Физики распутали сложные электрон-бозонные взаимодействия в присутствии магнетизма

Международная группа ученых провела теоретическое и экспериментальное исследование соединений лантаноидов с ферромагнитными свойствами, сосредоточив внимание на материале LaCo₂P₂. Исследование изучало взаимодействие электронов с бозонами как в объеме этого кристалла, так и на его поверхности с целью более точно определить взаимосвязь между объемными и поверхностными свойствами LaCo₂P₂, а также глубже понять необычные свойства подобных систем.

Работа опубликована в журнале Advanced Physics Research ( https://advanced.onlinelibrary.wiley.com/doi/10.1002/apxr.202400137 ) Материалы с лантаноидами более 60 лет привлекают внимание ученых благодаря их необычным магнитным свойствам. Эти соединения обладают не только интересным электронным строением, но и способностью изменять магнитные свойства за счет варьирования их химического состава. Исследование взаимодействий между электронами, магнитными возбуждениями и фононами в таких системах открывает широкие перспективы как для фундаментальной физики, так и для разработки новых материалов и устройств для прикладного использования.

Последние достижения в области многослойных систем на основе железосодержащих материалов и сложных соединений открыли пути для дальнейшего изучения научных и промышленных приложений, таких как высокотемпературная сверхпроводимость.

Группа физиков из МФТИ, Санкт-Петербургского университета, МИСиС, ИФПМ СО РАН в сотрудничестве с иностранными коллегами подробно и систематично исследовала электрон-бозонные взаимодействия в соединениях вида LnCo2P2, где Ln — это лантаноид, Co — кобальт, P — атом фосфора. Исследователям удалось получить уникальные результаты, касающиеся воздействия электрон-бозонных взаимодействий на электронную структуру этих материалов. В обсуждаемой работе приведены детальные исследования для материала LaCo₂P₂. В работе использовались методы фотоэлектронной спектроскопии с разрешением по квазиимпульсу (ARPES), а также теоретические расчеты на основе теории функционала плотности (DFT).

Применение ARPES позволило исследовать электроны, расположенные вблизи поверхности материала, что обеспечило получение ценной информации об особенностях зонной структуры и поверхностных свойствах. Уникальность применения ARPES заключается в возможности выявлять как объемные, так и поверхностные электронные состояния, что позволяет описывать свойства, присущие как объему, так и поверхности кристалла. Расчеты DFT, в свою очередь, предоставили возможность рассчитать электронную структуру из первых принципов и смоделировать взаимодействия между электронами, фононами и магнонами.

Результаты исследования продемонстрировали, насколько существенно изменяются электронная и магнитная структура материала, а также электрон-бозонные взаимодействия на поверхности по сравнению с объемом ферромагнитного обЪекта. Авторам удалось выявить изменения свойств в отдельных атомных слоях, прилегающих к поверхности. В частности, было обнаружено, что магнитное упорядочение атомов кобальта, наблюдаемое в объеме, нарушается на поверхности.

Предположительно это связано с высокой чувствительностью магнитного момента кобальта во втором атомном слое к расстояниям прилегающих атомных слоев. Исследование показало, что даже незначительные изменения расстояний между атомами фосфора (P) и кобальта (Co) могут существенно повлиять на магнитный момент, изменяя как его величину, так и направление, которое может кардинально измениться вплоть до противоположного. Эти вариации расстояний сравнимы с амплитудами колебаний атомов, что подчеркивает важность роли фононов, квантов колебаний кристаллической решетки, в определении магнитных свойств поверхности материала.

Данные, полученные с помощью ARPES, показали, что характерный излом в дисперсии объемной зоны «3» значительно сильнее, чем в поверхностной зоне «2» вблизи уровня Ферми. Это объясняется тем, что электрон-фононное взаимодействие внутри кристалла значительно сильнее, чем на его поверхности. Это заключение также подтверждается результатами численного моделирования.

«Мы уверены, что результаты наших исследований помогут глубже понять и выявлять сложные взаимодействия электронов с магнонами и фононами в магнитноупорядоченных системах не только внутри кристаллов, но и на их поверхностях, которые могут быть представлены различными слоями атомов. Эти результаты важны для разработки и создания нетривиальных гетероструктур, в которых электрон-бозонные взаимодействия могут изменяться от слоя к слою, существенно влияя на магнитные и другие свойства структур. Для практического применения и надежного контроля свойств новых нанообъектов такая информация чрезвычайно важна», — рассказал Дмитрий Усачёв, ведущий научный сотрудник лаборатории фотоэлектронной спектроскопии квантовых функциональных материалов Центра перспективных методов мезофизики и нанотехнологий МФТИ.

Проведенные исследования, отработанные методики и полученные результаты открывают новые горизонты для изучения сложных взаимодействий в материалах, содержащих магнитно активные d- и f-орбитали. Полученные данные могут быть широко использованы для моделирования новых систем с уникальными свойствами, а также в области квантовых материалов, что открывает перспективы для дальнейших исследований.

Результаты исследований в этой области могут быть применены для разработки высокоэффективных магнитных сенсоров, квантовых вычислений, создания новых материалов с уникальными магнитными и электрическими свойствами, которые потенциально могут быть использованы в электронике и других смежных областях.

Опубликованная работа представляет собой лишь один из множества шагов на пути к раскрытию сложных взаимодействий в материалах, которые могут изменить наш подход к современным технологиям.

Исследования проведены при поддержке Министерством науки и высшего образования России и МегаГранта.

В работе принимали участие ученые из МФТИ, МИСИС, СПбГУ, Института физики прочности и материаловедения РАН, а также их иностранные коллеги из Германии, Испании и Австрии.

Адаптированный текст взят отсюда: https://naked-science.ru/article/column/vzaimodejstviya-v-prisuts",55,3921,28,1,СПбГУ
1036,-227383920,2025-06-14 11:45:00,"МФТИ готовит самых богатых айтишников России
...................................

SuperJob опубликовал рейтинг зарплат выпускников IT-специальностей за 2019-2024 годы. МФТИ снова лидер со средней зарплатой 330 тысяч рублей в месяц, рост на 10% за год. Второе место делят ИТМО и МГУ с 290 тысячами рублей, рост на 12% и 16% соответственно. Третье место у МГТУ Баумана, МИФИ и ВШЭ — 280 тысяч рублей. В топ-5 СПбГУ с 270 тысячами (рост 13%) и Университет Иннополис с 250 тысячами (рост 9%). Шестое место у МГТУ ""Станкин"", НИУ ""МИЭ"" и МАИ — 240 тысяч рублей.
По динамике лидируют МГУ и КФУ с ростом на 40 тысяч рублей за год. Два вуза поднялись на три строчки — ИжГТУ им. Калашникова (175 тысяч) и МИИТ (170 тысяч).

Рост зарплат обусловлен высокой конкуренцией за IT-таланты, цифровизацией экономики и спросом на специалистов по ИИ, Data Science и кибербезопасности.
Москва и Санкт-Петербург традиционно предлагают самые высокие зарплаты — в столице средняя зарплата программиста 216 тысяч, в Питере 181 тысяча рублей.

👌Что это значит для семей с детьми

▫️ IT-образование становится одной из самых выгодных инвестиций в будущее ребенка. Выпускники топовых вузов зарабатывают больше многих опытных специалистов других профессий уже в первые годы работы.
▫️ Важно понимать — престиж вуза действительно влияет на зарплату. Разница между МФТИ (330 тысяч) и региональными вузами (140-170 тысяч) составляет в 2 раза. Поступление в топовый вуз окупается за несколько лет.
▫️ Удаленная работа сглаживает региональные различия. Выпускник из Оренбурга может работать на московскую компанию, получая столичную зарплату при региональных расходах на жизнь.
▫️ Подготовка к поступлению в IT-вузы требует серьезных вложений в математику, физику и программирование. Но эти затраты окупаются уже в первые годы после выпуска.
▫️ Рассматривайте не только московские вузы — ИТМО в Питере, Университет Иннополис в Казани тоже дают отличные перспективы при меньшей конкуренции на поступление.
▫️ Специализация имеет значение — наибольший рост зарплат у разработчиков, Data Engineers, специалистов по ИИ и информационной безопасности.

IT-сфера демонстрирует устойчивый рост зарплат на 10-16% в год, что значительно опережает инфляцию. Инвестиции в IT-образование детей остаются одними из самых надежных способов обеспечить им финансовое благополучие в настоящее время.

____
Информация в канале - частное мнение без призыва к действиям

Тарасов Богатство семьи (https://t.me/tarasov_pro_7ya)

#News@tarasov_pro_7ya",1,12,0,0,СПбГУ
2772,-201515597,2025-06-14 11:17:35,"Мазин В. А. Основы теории психоанализа 
 
Лекции по теории психоанализа. 
 
Мазин Виктор Аронович — кандидат философских наук, доцент кафедры междисциплинарных исследований и практик в области искусств СПбГУ, заведующий кафедрой теории психоанализа Восточно-Европейского института психоанализа (Санкт-Петербург). 
Практикующий психоаналитик, философ, основатель Музея сновидений Фрейда, автор более 300 публикаций по вопросам психоанализа и визуальных искусств. 
 
https://disk.yandex.ru/d/vG0fGHFrH1PX9A 
 
#Мазин_В_А #аудиолекции #психоанализ #Фрейд #теорияпсихоанализа #Фрейд",69,3849,83,1,СПбГУ
8038,698698290,2025-06-14 11:16:49,"https://openedu.ru/course/spbu/METHOD_FORLANG/

Новый онлайн курс СПбГУ ""Теоретические основы методики преподавания ИЯ, традиции и инновации""",1,70,0,0,СПбГУ
5416,-187639018,2025-06-14 10:40:00,"Что попадалось на ДВИ за последние три года?

Собрали темы эссе, которые писали наши ученики в разных вузах. На курсах подробно разбираем темы прошлых лет, читаем эссе учеников на максимум с реальных ДВИ! 

До 17 июня открыта дозапись на курсы:

📚ДВИ в МГУ.  За месяц пройдем всю историю России, потому что весь вступак МГУ построен на истории! Разберем 50+ готовых эссе и редакционных заданий.

🖇️ https://vk.com/wall-187639018_5238

📚ДВИ в СПбГУ. Делаем упор на обществознании, подбираем аргументы из СМИ, вычитываем эссе с реального экзамена.

🖇️ https://vk.com/wall-187639018_5261

📚Основы журналистики. Наша самая универсальная программа: готовимся к эссе, тестам, собеседованиям. Разбираем готовые работы из разных вузов, делаем упор на теорию и историю журналистики.

🖇️ https://vk.com/wall-187639018_5290

Задать вопросы о программах и записаться можно здесь — http://vk.me/asoeva_jour

Купить курс — https://taplink.cc/maschool/m/194538/",10,513,2,1,СПбГУ
41772,-105964770,2025-06-14 10:15:00,Куликов Владимир родился в Санкт-Петербурге в 1970 году. В 1996 году окончил художественно-графический факультет СПбГУ им. А.И. Герцена.,16,963,2,0,СПбГУ
10799,-68657808,2025-06-14 10:00:21,"#полезное_gosmed #эндокринология_gosmed 
 
Поделитесь информацией с близкими❤ 
 
Записывайтесь на консультацию к специалистам: 
- через мобильное приложение ""Клиника СПбГУ"" — доступно для IOS и Android; 
- на сайте online.gosmed.ru; 
- по телефону контакт-центра 8 (812) 676-25-25.",24,1514,7,0,СПбГУ
